day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
1;1;4;1;7;1;1;5;1;  ;  ;49;  ;51;  ;2017;           ;           ;55-64;1;1;2;(1982,1987];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;12;1;     ;     ;     ;0
1;1;2;1;7;2;3;3;1;16;  ;36;  ;20;  ;2013;(2002,2012];           ;45-54;1;1;2;(2012,2017];30-44;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;16;1;     ;     ;     ;0
1;1;1;1;3;2;3;2;1;14;  ;1;  ;5;  ;2019;           ;           ;65+  ;1;1;2;<1983      ;18-29;2;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;898;     ;     ;0
1;1;2;1;1;2;3;5;16;  ;  ;0;  ;0;  ;2019;           ;           ;45-54;1;2;2;(1992,1997];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;2;19;1;     ;     ;     ;0
1;1;2;1;7;2;3;10;16;  ;  ;0;  ;0;  ;2017;           ;           ;18-29;1;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;20;1;     ;     ;     ;0
1;1;3;1;3;2;3;2;1;1;  ;1;  ;4;  ;2019;(2002,2012];           ;30-44;2;2;2;(2017,2022];18-29;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;3;20;1;8980;998;     ;0
1;1;4;1;4;2;3;10;15;  ;  ;71;  ;76;  ;           ;           ;           ;30-44;2;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;21;1;     ;     ;     ;0
2;1;3;1;8;2;3;8;1;  ;  ;61;  ;65;  ;(2002,2012];           ;           ;30-44;2;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;0;1;998;     ;     ;0
2;1;4;1;1;1;1;2;1;1;  ;11;  ;4;  ;(2002,2012];(2002,2012];           ;45-54;1;2;2;(2012,2017];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;5;1;1560;     ;     ;0
2;1;3;1;3;2;3;2;1;1;  ;1;  ;4;  ;(2002,2012];(2002,2012];           ;55-64;2;2;2;(2017,2022];45-54;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;8;1;1591;1699;     ;0
2;1;3;1;9;2;3;6;1;1;  ;61;  ;61;  ;(2002,2012];2021;           ;55-64;2;2;2;(2017,2022];45-54;1;1;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;8;1;998;1368;     ;0
2;1;2;1;7;2;3;2;16;1;  ;20;  ;22;  ;2015;(2002,2012];           ;30-44;1;2;2;(2012,2017];18-29;2;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;9;1;125;1124;     ;0
2;1;3;1;2;2;7;2;1;22;  ;6;  ;1;  ;2016;           ;           ;45-54;2;1;2;(1992,1997];18-29;1;2;9;           ;     ; ; ; ;           ;0;0;0;0;1;10;1;1242;     ;     ;0
2;1;2;1;8;2;7;10;16;  ;  ;71;  ;75;  ;           ;           ;           ;18-29;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;12;1;125;     ;     ;0
2;1;2;1;3;2;7;6;1;1;  ;61;  ;62;  ;(2002,2012];           ;           ;30-44;1;1;2;(2012,2017];55-64;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;2;12;1;1086;1499;     ;0
2;1;2;1;7;2;7;6;1;1;  ;0;  ;0;  ;(2002,2012];2018;           ;30-44;2;2;2;(2012,2017];45-54;2;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;17;1;     ;     ;     ;0
2;1;2;1;7;2;7;2;16;1;  ;20;  ;36;  ;2016;2019;           ;18-29;1;2; ;(2017,2022];45-54;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;19;1;296;1995;     ;0
2;1;2;1;7;2;1;1;16;1;  ;21;  ;20;  ;(2002,2012];2016;           ;30-44;1;2;2;(2012,2017];55-64;2;1;2;(1987,1992];     ; ; ; ;           ;0;0;0;0;1;23;1;124;1199;     ;0
3;1;4;1;1;1;1;2;22;1;  ;0;  ;0;  ;           ;2016;           ;18-29;1;2;9;           ;18-29;1;1;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;0;1;     ;1500;     ;0
3;1;2;1;7;1;1;6;1;1;  ;64;  ;61;  ;2013;(2002,2012];           ;30-44;1;2;2;(2002,2007];n.i. ;2;1; ;           ;     ; ; ; ;           ;0;0;0;0;1;2;1;2000;2000;0;0
3;1;2;1;3;2;7;2;1;1;  ;6;  ;11;  ;(2002,2012];2019;           ;55-64;1;2;2;(2007,2012];55-64;1;1;3;(1982,1987];     ; ; ; ;           ;0;0;0;0;1;7;1;1360;1968;     ;0
3;1;2;1;2;2;1;4;16;1;  ;15;  ;1;  ;2018;2019;           ;45-54;1;2;2;(1987,1992];30-44;2;1;2;           ;     ; ; ; ;           ;0;0;0;0;1;8;1;125;1497;     ;0
3;1;3;1;7;1;1;5;1;  ;  ;49;  ;51;  ;2018;           ;           ;30-44;1;1;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;8;1;1995;     ;     ;0
3;1;2;1;7;1;1;4;1;15;  ;22;  ;20;  ;           ;(2002,2012];           ;65+  ;1;1;2;(2017,2022];45-54;1;2;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;10;1;2597;50;0;0
3;1;4;1;4;1;7;6;1;1;  ;64;  ;61;  ;2013;2021;           ;55-64;1;1;2;(2017,2022];65+  ;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;12;1;1686;999;     ;0
3;1;2;1;1;1;1;2;1;14;  ;6;  ;1;  ;2016;           ;           ;65+  ;2;1;2;<1983      ;18-29;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;12;1;1248;     ;     ;0
3;1;1;1;3;1;1;2;1;16;  ;4;  ;1;  ;           ;2019;           ;45-54;1;1;2;(2012,2017];45-54;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;13;1;     ;     ;     ;0
3;1;4;1;7;1;1;3;8;14;  ;23;  ;20;  ;2019;           ;           ;55-64;1;1;2;(2017,2022];30-44;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;15;1;     ;     ;     ;0
3;1;2;1;7;1;1;6;1;23;  ;60;  ;62;  ;2014;           ;           ;55-64;2;1;2;(2017,2022];18-29;1;2;9;           ;     ; ; ; ;           ;0;0;0;0;1;18;1;999;     ;     ;0
3;1;4;1;4;1;1;5;1;  ;  ;0;  ;0;  ;2021;           ;           ;30-44;2;1; ;(2002,2007];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;18;1;     ;     ;     ;0
3;1;1;1;3;1;1;2;1;1;1;4;  ;1;  ;           ;2018;(2002,2012];18-29;2;1;2;(2007,2012];45-54;1;2;2;(2012,2017];n.i. ;1;1; ;           ;0;0;0;0;1;22;1;1000;1600;1397;0
4;1;4;1;7;1;1;8;1;  ;  ;61;  ;65;  ;           ;           ;           ;18-29;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;3;1;1242;     ;     ;0
4;1;3;1;7;1;1;5;1;  ;  ;40;  ;43;  ;2017;           ;           ;18-29;1;1;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;8;1;1560;     ;     ;0
4;1;3;1;3;1;1;10;16;  ;  ;71;  ;75;  ;2019;           ;           ;30-44;2;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;9;1;125;     ;     ;0
4;1;2;1;7;1;1;4;1;1;1;22;  ;21;  ;(2002,2012];           ;(2002,2012];45-54;2;2;2;           ;65+  ;1;1;2;(1982,1987];55-64;2;1;2;(2017,2022];0;0;0;0;1;10;1;1950;1498;1800;0
4;1;3;1;4;1;1;2;1;14;  ;2;  ;2;  ;2021;           ;           ;30-44;1;1;2;(2017,2022];30-44;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;11;1;1995;     ;     ;0
4;1;2;1;7;1;1;5;3;  ;  ;0;  ;0;  ;2017;           ;           ;55-64;1;1;2;(2002,2007];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;11;1;1499;     ;     ;0
4;1;1;1;4;1;1;10;16;  ;  ;71;  ;76;  ;2019;           ;           ;30-44;2;2;2;(2007,2012];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;14;1;124;     ;     ;0
4;1;4;1;7;1;1;4;1;1;  ;22;  ;20;  ;(2002,2012];(2002,2012];           ;45-54;2;1;2;(1987,1992];65+  ;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;15;1;     ;     ;     ;0
4;1;4;1;7;1;1;10;16;  ;  ;70;  ;73;  ;2018;           ;           ;30-44;2;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;1;125;     ;     ;0
4;1;1;1;7;1;1;8;1;  ;  ;61;  ;65;  ;2017;           ;           ;65+  ;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;     ;     ;     ;0
4;1;1;1;2;1;1;3;1;16;  ;1;  ;4;  ;2017;2018;           ;30-44;1;1;2;(2017,2022];55-64;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;20;1;1685;1685;     ;0
4;1;1;1;7;1;1;8;1;  ;  ;64;  ;65;  ;2013;           ;           ;55-64;2;2;2;<1983      ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;22;1;1200;     ;     ;0
5;1;4;1;4;2;1;2;1;1;  ;2;  ;4;  ;           ;2015;           ;30-44;1;2;2;(2002,2007];30-44;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;2;3;1;999;1129;     ;0
5;1;1;1;7;1;1;5;16;  ;  ;40;  ;55;  ;2015;           ;           ;45-54;1;1;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;12;1;124;     ;     ;0
5;1;1;1;3;1;7;3;1;14;  ;6;  ;1;  ;2013;           ;           ;55-64;1;1;2;(2012,2017];55-64;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;18;1;1461;     ;     ;0
5;1;3;1;7;2;1;10;16;  ;  ;71;  ;75;  ;           ;           ;           ;55-64;1;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;1150;     ;     ;0
5;1;2;1;7;2;3;10;14;  ;  ;71;  ;75;  ;           ;           ;           ;18-29;1;2;7;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;     ;     ;     ;0
5;1;2;1;4;1;1;2;16;1;  ;0;  ;0;  ;(2002,2012];(2002,2012];           ;18-29;1;2;2;(2017,2022];30-44;2;1; ;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;21;1;     ;     ;     ;0
5;1;2;1;3;2;3;10;16;  ;  ;70;  ;70;  ;(2002,2012];           ;           ;55-64;1;2;2;(1987,1992];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;21;1;125;     ;     ;0
6;1;4;1;7;2;3;8;1;  ;  ;64;  ;65;  ;(2002,2012];           ;           ;30-44;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;3;3;1;1399;     ;     ;0
6;1;3;1;7;1;1;6;1;1;  ;62;  ;61;  ;2021;           ;           ;30-44;2;1;2;(2012,2017];65+  ;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;10;1;1490;1332;     ;0
6;1;3;1;7;1;1;10;22;  ;  ;71;  ;75;  ;           ;           ;           ;45-54;1;2;9;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;12;1;     ;     ;     ;0
6;1;3;1;3;1;1;5;16;  ;  ;49;  ;53;  ;2019;           ;           ;30-44;1;1;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;12;1;125;     ;     ;0
6;1;3;1;3;1;1;2;16;1;  ;2;  ;4;  ;2017;2018;           ;45-54;1;2;2;(2017,2022];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;15;1;292;1364;     ;0
6;1;1;1;7;1;1;10;14;  ;  ;70;  ;70;  ;           ;           ;           ;18-29;1;2;7;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;20;1;     ;     ;     ;0
6;1;3;1;7;1;1;2;1;1;1;0;  ;0;  ;2015;2016;(2002,2012];18-29;2;2; ;(2017,2022];30-44;1;1;2;           ;n.i. ;1;1; ;           ;0;0;0;0;1;21;1;999;1598;1124;0
6;1;3;1;7;1;1;6;1;1;  ;61;  ;62;  ;2021;(2002,2012];           ;18-29;1;2;2;(2007,2012];n.i. ;1;1; ;           ;     ; ; ; ;           ;0;0;0;0;2;23;1;1199;698;     ;0
7;1;3;1;7;1;1;4;1;1;  ;23;  ;20;  ;2019;(2002,2012];           ;18-29;1;1;9;           ;30-44;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;3;1;1;1000;1749;     ;0
7;1;1;1;8;1;7;8;1;  ;  ;64;  ;65;  ;(2002,2012];           ;           ;30-44;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;2;1;2400;     ;     ;0
7;1;3;1;4;1;7;2;1;4;  ;0;  ;0;  ;2016;2015;           ;30-44;1;2;2;(2007,2012];30-44;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;3;3;1;1999;2000;     ;0
7;1;4;1;4;1;1;2;1;1;  ;11;  ;17;  ;           ;2021;           ;30-44;1;2;2;(2017,2022];45-54;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;4;1;2987;999;     ;0
7;1;3;1;4;1;2;2;1;1;  ;2;  ;1;  ;2017;(2002,2012];           ;18-29;1;1;2;(2012,2017];65+  ;1;1;2;(2002,2007];     ; ; ; ;           ;0;0;0;0;1;5;1;1199;1368;     ;0
7;1;4;1;4;1;1;2;1;14;  ;1;  ;2;  ;2016;           ;           ;55-64;1;1;2;(1982,1987];30-44;2;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;12;1;     ;     ;     ;0
7;1;2;1;3;1;1;8;1;  ;  ;64;  ;65;  ;(2002,2012];           ;           ;65+  ;1;2;2;<1983      ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;13;1;     ;     ;     ;0
7;1;2;1;7;1;1;10;14;  ;  ;71;  ;75;  ;           ;           ;           ;18-29;2;2;7;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;16;1;     ;     ;     ;0
7;1;1;1;7;1;1;6;1;1;  ;64;  ;61;  ;2018;(2002,2012];           ;18-29;1;1;2;(2012,2017];30-44;1;1;2;           ;     ; ; ; ;           ;0;0;0;0;1;20;1;1499;1149;     ;0
7;1;3;1;4;1;1;2;1;1;  ;4;  ;1;  ;(2002,2012];2015;           ;45-54;1;1;2;(2017,2022];55-64;1;1;2;(1987,1992];     ; ; ; ;           ;0;0;0;0;1;23;1;1992;1600;     ;0
1;1;3;1;7;1;1;8;1;  ;  ;61;  ;65;  ;(2002,2012];           ;           ;55-64;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;5;1;     ;     ;     ;0
1;1;2;1;1;1;1;4;1;1;  ;3;  ;1;  ;(2002,2012];(2002,2012];           ;45-54;2;2;2;(2002,2007];45-54;1;1;2;(1992,1997];     ; ; ; ;           ;1;0;0;0;2;8;1;1000;1368;     ;0
1;1;2;1;3;1;1;5;3;  ;  ;49;  ;53;  ;2014;           ;           ;55-64;1;1;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;10;1;1788;     ;     ;0
1;1;3;1;1;1;1;2;8;14;  ;1;  ;2;  ;           ;           ;           ;30-44;1;1;2;(2017,2022];30-44;2;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;10;1;     ;     ;     ;0
1;1;2;1;4;1;1;5;16;  ;  ;40;  ;55;  ;(2002,2012];           ;           ;55-64;1;1;2;(1987,1992];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;13;1;     ;     ;     ;0
1;1;2;1;7;1;1;3;16;1;  ;0;  ;0;  ;           ;(2002,2012];           ;45-54;1;2;2;(2012,2017];65+  ;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;15;1;     ;     ;     ;0
1;1;1;1;7;1;1;2;16;6;  ;23;  ;20;  ;(2002,2012];(2002,2012];           ;45-54;1;2;2;           ;30-44;1;1;5;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;17;1;640;     ;     ;0
1;1;2;1;7;1;1;10;16;  ;  ;70;  ;73;  ;(2002,2012];           ;           ;55-64;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;1;400;     ;     ;0
1;1;1;1;3;1;1;2;14;1;  ;15;  ;1;  ;           ;           ;           ;45-54;1;2;7;           ;45-54;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;17;1;     ;1998;     ;0
1;1;1;1;8;1;1;2;16;1;  ;21;  ;35;  ;(2002,2012];2021;           ;30-44;1;2;2;(2017,2022];18-29;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;18;1;200;1598;     ;0
1;1;3;1;4;1;1;3;15;1;  ;1;  ;6;  ;2016;(2002,2012];           ;30-44;2;2;2;(2017,2022];55-64;2;1;2;(2002,2007];     ; ; ; ;           ;0;0;0;0;1;18;1;49;     ;     ;0
1;1;4;1;7;1;1;8;1;  ;  ;60;  ;60;  ;2021;           ;           ;45-54;1;2;2;(1987,1992];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;18;1;1499;     ;     ;0
1;1;1;1;8;1;1;3;20;14;  ;21;  ;20;  ;           ;           ;           ;     ; ; ; ;           ;45-54;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;23;1;     ;     ;     ;0
2;1;3;1;4;1;1;5;1;  ;  ;49;  ;52;  ;(2002,2012];           ;           ;65+  ;1;1;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;7;1;1328;     ;     ;0
2;1;4;1;7;1;1;2;16;16;  ;20;  ;21;  ;(2002,2012];2018;           ;55-64;1;2;3;(2017,2022];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;7;1;638;     ;     ;0
2;1;3;1;4;1;1;2;1;1;  ;5;  ;1;  ;(2002,2012];           ;           ;30-44;1;1;2;(2007,2012];30-44;1;2;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;4;8;1;1984;     ;     ;0
2;1;3;1;7;3;1;10;16;  ;  ;70;  ;70;  ;2013;           ;           ;55-64;1;2;2;(1982,1987];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;8;1;400;     ;     ;0
2;1;2;1;7;1;1;5;1;  ;  ;49;  ;53;  ;2018;           ;           ;65+  ;1;1; ;(1992,1997];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;8;1;2995;     ;     ;0
2;1;2;1;7;1;1;6;14;1;  ;66;  ;61;  ;           ;           ;           ;30-44;1;2;7;           ;45-54;2;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;10;1;     ;1199;     ;0
2;1;2;1;7;1;1;10;22;  ;  ;70;  ;70;  ;           ;           ;           ;18-29;1;2;9;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;10;1;     ;     ;     ;0
2;1;1;1;7;1;1;3;1;14;  ;0;  ;0;  ;2019;           ;           ;55-64;2;1;2;(1982,1987];55-64;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;13;1;     ;     ;     ;0
2;1;1;1;4;1;1;4;16;1;  ;3;  ;1;  ;2018;2015;           ;18-29;1;2;2;(2012,2017];45-54;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;14;1;125;1560;     ;0
2;1;4;1;4;1;1;2;1;14;  ;1;  ;2;  ;2016;           ;           ;45-54;2;1;2;(1987,1992];30-44;2;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;14;1;1200;     ;     ;0
2;1;4;1;4;1;1;10;16;  ;  ;71;  ;74;  ;(2002,2012];           ;           ;45-54;1;2;2;(1992,1997];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;14;1;     ;     ;     ;0
2;1;2;1;3;1;1;2;1;1;  ;1;  ;6;  ;(2002,2012];(2002,2012];           ;18-29;1;2;2;(2017,2022];18-29;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;3;16;1;1124;1242;     ;0
2;1;2;1;7;1;1;10;16;  ;  ;71;  ;75;  ;2021;           ;           ;18-29;1;2;5;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;1;124;     ;     ;0
2;1;3;1;1;1;1;3;1;16;  ;0;  ;0;  ;2018;(2002,2012];           ;45-54;1;1;2;(2017,2022];30-44;1;2;2;(2002,2007];     ; ; ; ;           ;0;0;0;0;1;18;1;     ;     ;     ;0
2;1;1;1;3;1;1;5;1;  ;  ;49;  ;53;  ;(2002,2012];           ;           ;30-44;2;1;2;(2007,2012];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;18;1;1991;     ;     ;0
2;1;2;1;7;1;1;3;1;14;  ;21;  ;20;  ;(2002,2012];           ;           ;55-64;2;1;2;(2012,2017];18-29;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;1240;     ;     ;0
2;1;3;1;7;1;1;3;20;1;1;21;  ;20;  ;           ;(2002,2012];(2002,2012];     ; ; ; ;           ;45-54;2;1;2;(2012,2017];18-29;2;2;2;(2012,2017];0;0;0;0;1;22;1;     ;999;698;0
3;1;4;1;4;1;1;2;7;1;  ;1;  ;17;  ;(1973,1982];(2002,2012];           ;18-29;1;1;2;           ;65+  ;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;1;1;     ;     ;     ;0
3;1;3;1;7;1;1;3;1;1;  ;0;  ;0;  ;(2002,2012];2018;           ;55-64;2;2;2;(1987,1992];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;7;1;1368;999;     ;0
3;1;3;1;4;1;1;2;16;1;  ;1;  ;17;  ;(2002,2012];(2002,2012];           ;65+  ;1;2;2;(2017,2022];18-29;2;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;10;1;244;998;0;0
3;1;4;1;7;1;1;3;1;16;  ;0;  ;0;  ;(2002,2012];2019;           ;55-64;1;1;3;(2017,2022];65+  ;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;15;1;1995;279;     ;0
3;1;1;1;7;1;1;8;15;  ;  ;60;  ;60;  ;           ;           ;           ;18-29;2;2;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;2;17;1;     ;     ;     ;0
3;1;3;1;1;1;1;10;22;  ;  ;0;  ;0;  ;           ;           ;           ;18-29;1;2;9;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;18;1;     ;     ;     ;0
4;1;2;1;7;1;1;6;1;1;  ;64;  ;61;  ;2019;2021;           ;30-44;2;2;2;(2017,2022];n.i. ;1;1; ;           ;     ; ; ; ;           ;0;0;0;0;1;2;1;1398;1998;0;0
4;1;1;1;1;1;1;2;1;1;  ;1;  ;5;  ;(2002,2012];2017;           ;18-29;1;1;2;(2012,2017];45-54;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;3;1;1368;2143;     ;0
4;1;2;1;7;1;1;2;1;16;  ;0;  ;0;  ;2017;           ;           ;45-54;1;1;2;(1987,1992];30-44;1;2;2;(1992,1997];     ; ; ; ;           ;0;0;0;0;1;6;1;1560;471;     ;0
4;1;2;1;4;1;1;1;1;1;  ;1;  ;5;  ;(2002,2012];(2002,2012];           ;65+  ;1;1;2;<1983      ;45-54;1;2;2;(2002,2007];     ; ; ; ;           ;0;0;0;0;1;6;1;2995;1495;     ;0
4;1;2;1;3;1;1;2;16;1;  ;1;  ;6;  ;2018;(2002,2012];           ;30-44;1;2;2;           ;65+  ;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;7;1;125;1242;     ;0
4;1;1;1;7;1;1;4;1;1;  ;22;  ;20;  ;2017;           ;           ;55-64;1;2;2;(2012,2017];30-44;2;2;2;           ;     ; ; ; ;           ;0;0;0;0;2;9;1;1560;2488;     ;0
4;1;4;1;4;1;1;3;1;16;  ;2;  ;2;  ;(2002,2012];(2002,2012];           ;18-29;2;1;2;(2012,2017];65+  ;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;13;1;1242;400;     ;0
4;1;1;1;7;1;1;5;1;  ;  ;40;  ;43;  ;2015;           ;           ;55-64;2;1;2;<1983      ;     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;13;1;     ;     ;     ;0
4;1;4;1;1;1;1;4;1;1;1;3;  ;1;  ;(2002,2012];2018;           ;18-29;2;2;2;(2017,2022];30-44;1;2;2;(2017,2022];55-64;2;1;2;(2017,2022];0;0;0;0;2;13;1;1124;1598;     ;0
4;1;2;1;7;1;1;4;1;1;  ;22;  ;21;  ;(2002,2012];(2002,2012];           ;18-29;2;1;2;(2017,2022];30-44;2;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;14;1;698;1598;     ;0
4;1;4;1;3;1;1;2;1;14;  ;2;  ;2;  ;2017;           ;           ;18-29;1;1;2;(2017,2022];30-44;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;16;1;1248;     ;     ;0
4;1;1;1;7;1;1;6;8;8;1;64;  ;61;  ;(2002,2012];2021;           ;30-44;1;2;2;(2017,2022];45-54;1;1;4;(2012,2017];65+  ;2;2;2;(2017,2022];0;0;0;0;2;17;1;     ;     ;1199;0
4;1;3;1;7;1;1;2;16;14;  ;21;  ;20;  ;(2002,2012];           ;           ;18-29;1;1;2;(2017,2022];55-64;1;2;7;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;     ;     ;     ;0
4;1;3;1;3;1;1;3;16;1;  ;1;  ;15;  ;           ;2014;           ;18-29;1;2;2;(2017,2022];45-54;1;1;2;           ;     ; ; ; ;           ;0;0;0;0;1;19;1;500;1198;     ;0
5;1;1;1;7;1;1;5;8;  ;  ;40;  ;55;  ;2016;           ;           ;45-54;1;1;4;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;1;0;0;0;1;1;1;     ;     ;     ;0
5;1;1;1;8;1;7;8;1;  ;  ;61;  ;65;  ;(2002,2012];           ;           ;45-54;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;3;1;2967;     ;     ;0
