day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
4;7;1;1;7;1;1;3;1;1;1;20;  ;21;  ;2021;(2002,2012];2018;55-64;1;1;2;(2012,2017];30-44;2;2;2;(2017,2022];30-44;2;1;2;(2017,2022];0;0;0;0;1;8;1;1987;1399;2967;0
4;7;1;1;7;1;1;4;1;1;  ;22;  ;20;  ;(2002,2012];           ;           ;65+  ;1;1;2;(2017,2022];30-44;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;12;1;3600;1956;     ;0
7;7;1;1;7;2;1;4;1;1;1;20;  ;22;  ;           ;2015;           ;45-54;2;2;2;(2012,2017];18-29;1;1;2;(2017,2022];18-29;1;1;2;(2012,2017];0;0;0;0;4;5;1;     ;     ;     ;0
6;7;1;1;8;1;1;4;1;1;  ;23;  ;20;  ;(2002,2012];2018;           ;30-44;1;1;2;(2017,2022];45-54;2;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;8;1;     ;998;     ;0
7;7;1;1;7;1;1;3;1;1;  ;26;  ;20;  ;2018;2017;           ;45-54;1;2;2;(1982,1987];45-54;1;1;2;(1987,1992];     ; ; ; ;           ;0;0;0;0;1;6;1;1461;1461;     ;0
1;5;3;1;7;1;1;4;1;1;1;20;  ;30;  ;2015;(2002,2012];2016;45-54;2;1;2;(2012,2017];18-29;1;1;2;(2017,2022];45-54;1;2;2;(2012,2017];0;0;0;0;2;17;1;     ;     ;     ;0
7;7;1;1;8;1;1;2;1;1;  ;  ;  ;23;  ;2015;2016;           ;30-44;1;2;2;(2017,2022];18-29;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;4;3;1;1248;1199;     ;0
5;7;1;1;7;1;1;4;1;8;1;35;  ;20;  ;           ;(2002,2012];2019;18-29;1;2;2;(2012,2017];30-44;1;1;2;(2017,2022];18-29;1;2;2;(2017,2022];0;0;0;0;2;15;1;999;2299;998;0
5;9;1;1;8;1;1;2;1;1;  ;22;  ;20;  ;2015;(2002,2012];           ;30-44;1;2;2;(2012,2017];30-44;2;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;20;1;1395;1998;     ;0
5;7;1;1;7;1;1;4;10;1;  ;21;  ;20;  ;2019;(2002,2012];           ;45-54;1;1;3;(2012,2017];18-29;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;20;1;     ;     ;     ;0
6;7;1;1;7;1;1;3;1;1;  ;20;  ;23;  ;           ;(2002,2012];           ;30-44;1;2;2;(2007,2012];18-29;1;1;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;10;1;     ;     ;     ;0
1;7;1;1;8;1;1;4;8;1;  ;20;  ;21;  ;2019;2014;           ;30-44;1;1;3;(2017,2022];18-29;2;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;13;1;     ;     ;     ;0
4;7;1;1;8;1;1;4;1;1;  ;22;  ;20;  ;2017;(2002,2012];           ;18-29;1;1;2;(2012,2017];55-64;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;2;0;1;1461;1198;     ;0
4;7;1;1;7;1;1;4;1;1;  ;22;  ;20;  ;2022;(2002,2012];           ;45-54;1;1;3;(2017,2022];30-44;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;14;1;     ;     ;     ;0
5;7;1;1;8;1;1;3;1;1;  ;20;  ;23;  ;2016;2016;           ;18-29;1;1;2;(2017,2022];30-44;2;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;9;1;     ;     ;     ;0
6;7;1;1;7;1;1;4;1;1;1;22;  ;20;  ;(2002,2012];2017;2016;45-54;1;1;2;(2017,2022];18-29;1;1;2;(2012,2017];65+  ;1;1;2;(2017,2022];0;0;0;0;1;15;1;1242;1198;1368;0
1;7;1;1;7;1;1;3;1;10;  ;22;  ;20;  ;2017;2018;           ;30-44;2;2;2;(2012,2017];30-44;1;1;3;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;15;1;1149;12902;     ;0
1;7;1;1;7;1;1;3;1;8;  ;35;  ;21;  ;(2002,2012];2017;           ;45-54;1;2;2;(1992,1997];30-44;1;1;3;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;6;1;     ;     ;     ;0
3;7;1;1;7;1;1;4;1;8;  ;21;  ;20;  ;(2002,2012];2019;           ;30-44;2;2;2;(2002,2007];30-44;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;8;1;1598;2287;     ;0
7;7;1;1;7;1;1;4;1;1;1;22;  ;20;  ;2021;(2002,2012];(2002,2012];30-44;1;1;2;(2017,2022];30-44;2;2;2;(2012,2017];18-29;2;2;2;(2012,2017];0;0;0;0;3;14;1;     ;     ;     ;0
2;7;1;1;7;1;1;3;1;8;10;21;  ;20;  ;2019;           ;2019;55-64;1;2;2;(1982,1987];30-44;1;1;3;(2002,2007];55-64;1;1;3;(2017,2022];0;0;0;0;1;11;1;     ;     ;     ;0
3;7;1;1;7;1;7;4;1;1;  ;22;  ;20;  ;2013;2018;           ;45-54;1;1;2;(2017,2022];30-44;1;2;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;12;1;998;1499;     ;0
7;7;1;1;7;1;1;3;1;1;  ;21;  ;20;  ;           ;2018;           ;n.i. ;1;1; ;           ;30-44;1;2;2;(2007,2012];     ; ; ; ;           ;0;0;0;0;1;21;1;     ;1999;     ;0
6;7;1;1;7;1;1;4;1;1;  ;21;  ;23;  ;(2002,2012];(2002,2012];           ;18-29;2;2;2;(2017,2022];30-44;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;3;1;2;     ;     ;     ;0
6;7;1;1;7;1;7;4;1;1;1;34;  ;21;  ;(2002,2012];(2002,2012];2017;30-44;2;2;2;(2007,2012];55-64;1;1;3;(2017,2022];45-54;1;1;2;(1992,1997];0;0;0;0;1;12;2;     ;     ;     ;0
